商品ID,标题,风险等级,风险类型,销量,日增量,池,店铺ID,店铺名,发现时间,来源,品类,是否今日新发现
69f98555f888bb0001141df0,儿童游乐树屋SU模型,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:42,web_full,,1
69e5ce2fa1dd780001de3ebc,儿童房空间意向JPG素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:42,web_full,,1
69dd99e3747e970001d63b6f,元明时代陶瓷器纹饰AI素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:42,web_full,,1
69e70d8da9f814000133b964,桌游棋牌插图素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:42,web_full,,1
69f8a23330d08600015f8317,复古文艺风PNG素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:42,web_full,,1
69f893b5213e270001b16830,养老项目PPT案例集,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:42,web_full,,1
69eee511c4fc820001beb696,现代作品集最全PPT图标,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:42,web_full,,1
69e608bea9f8140001e6ee9f,2026新年艺术字PNG素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:42,web_full,,1
69f17c55a54aee00012afb05,神兽瑞兽笔刷61款,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:43,web_full,,1
69ef7e28bd8c35000154d410,手绘插画云彩PSD素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:43,web_full,,1
69d50118076df80001f06e16,家居琴房SU模型合集,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:43,web_full,,1
69eb513321e0870001fde01c,虚拟资料3504电子版,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:43,web_full,,1
69f0469067d4b200016a9270,水晶苹果PNG免扣素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:43,web_full,,1
69f9722cc61d3a000104fa4f,商务风PPT工作总结,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:44,web_full,,1
69e5bdd7db4c8300012b129e,卡通马插画矢量标志,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:44,web_full,,1
69f0043467d4b2000162e443,网红售卖亭SU模型,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:44,web_full,,1
698445d5f0c4840001434845,3DMAX车缝线生成器,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:35:00,web_full,,1
69dcca7549c41d000124f2e9,方形动漫横幅PSD样机,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:35:03,web_full,,1
69ca9dad450d060001781be8,虚拟产品3428电子版,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:35:03,web_full,,1
69f899290511b500019f9c57,国潮风山脉矢量素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:35:04,web_full,,1
69d3bae8c94bfd000131fd14,中式美食笔刷74款,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:35:04,web_full,,1
69e35396ddd1650001aee51c,服饰布料花纹笔刷36款,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:35:04,web_full,,1
69eb5bec67d4b20001f2a949,虚拟资料3506电子版,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:35:04,web_full,,1
69eabdc73aa96f0001137dbc,虚拟产品3501电子版,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:35:04,web_full,,1
69f1d21181bc0100019499ed,徽派马头墙SU模型,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:35:05,web_full,,1
69fd6044c61d3a00016621fd,蓝莓甜品PNG免扣素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:23,web_full,,1
69fe889ef888bb00018b0158,黑板餐牌画架SU模型,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:24,web_full,,1
69fe95fd43360b0001605c80,庭院洗手台SU模型,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:24,web_full,,1
69feacb0e0e86e0001269947,禅意锈板SU模型合集,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:24,web_full,,1
6a0036397b710e0001b67959,书吧咖啡厅SU模型,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:39:24,web_full,,1
