商品ID,标题,风险等级,风险类型,销量,日增量,池,店铺ID,店铺名,发现时间,来源,品类,是否今日新发现
69e1d14f4dd26e00017eef3f,证件照换底色p图修图证件照换衣服换发型去刘海加耳朵证件照精修,high,商品已下架/冻结,0,74.23260808035779,ACCEL,,,2026-06-19 16:57:29,web_detail,,1
6a0d825b43375f00012c1b56,C盘清理精灵专业一键深度清理系统垃圾释放存储空间优化电脑服务,high,商品已下架/冻结,1536,57.14686810184611,WATCH,677e2785921a680015716438,青禾科技的店,2026-06-19 14:14:05,web_full,,1
6a0d825b43375f00012c1b53,C盘清理精灵专业一键深度清理系统垃圾释放存储空间优化电脑服务,high,商品已下架/冻结,1458,54.84097207204727,WATCH,677e2785921a680015716438,青禾科技的店,2026-06-19 14:35:44,web_full,,1
6a1c1d3b40788700011238e8,第五吧唧本园丁专属【逐浪拾光】,high,商品已下架/冻结,1415,50.204109264878134,WATCH,69dedb7e7e033a00150f654b,酱油周边的店,2026-06-19 15:38:22,web_full,,1
6a14f158df36740001c1c3a0,全新第五人格吧唧包邮信封,high,商品已下架/冻结,2557,50.0217878274282,WATCH,,小汐的游戏天地的店,2026-06-19 16:57:30,web_detail,,1
69f1a5a52f72a600151328e4,2026新款巨型红包送闺蜜生日礼物结婚乔迁新年金榜题名礼物拍照sh,high,商品已下架/冻结,1149,26.86733284520128,WATCH,,,2026-06-19 16:57:33,web_detail,,1
69dafa4c47a2e20001c9df5e,证件照换底色p图修图证件照换衣服换发型去刘海加耳朵证件照精修,high,商品已下架/冻结,3649,24.663841468780515,WATCH,,,2026-06-19 16:57:31,web_detail,,1
69d9bacd98fb930001c1b212,证件照换底色p图修图证件照换衣服换发型去刘海加耳朵证件照精修,high,商品已下架/冻结,3633,22.939097310124534,WATCH,,小沐子设计的店,2026-06-19 16:57:31,web_detail,,1
6a09842504b18d0001646096,铲+铲币号教案电子本,high,商品已下架/冻结,997,20.26878559170755,WATCH,68d1c8723490500015a49a93,只只zizi(发货联系店铺客服)的店,2026-06-19 16:57:30,web_detail,,1
6a0f38859a4ddf0001632540,光遇测•生•槁PPT,high,商品已下架/冻结,912,20.003571788378753,WATCH,6741c678b63e700015756b35,小俞酒儿的店,2026-06-19 16:57:30,web_detail,,1
69e59a82d5ed9c00016b8cfc,拍下即可好物 高效必备同款 1翻译校队,high,商品已下架/冻结,1555,17.11011001740204,WATCH,690b1c9970532b00157acf7c,绛绛绛绛绛的店,2026-06-19 14:05:44,web_full,,1
6a01e7890511b50001e20452,同款好物     同款好物  翻译,high,商品已下架/冻结,938,16.992187619943348,WATCH,696720974f533a00153545b9,文写写1的店,2026-06-19 16:57:30,web_detail,,1
69eb2f18f9b6f1000185379c,考研英语单词整理线圈本 彩色内页 单词翻译练习笔记本,high,商品已下架/冻结,1455,15.457776028844785,WATCH,679d9046d0ac5b0015e4518b,十年资料铺的店,2026-06-19 14:37:14,web_full,,1
69f421c781bc010001c9cf59,【自动秒发货】Word Excel PPT 模板,high,商品已下架/冻结,1611,14.978155287415909,WATCH,676e40c3d0a2240015b4e51a,珑悦工作室的店,2026-06-19 13:57:01,web_full,,1
6a0c3ce73c8e6e0001900900,同款商品 自动发货,high,商品已下架/冻结,508,14.889491948075046,WATCH,69159bf5f480c60015e0507c,向着太阳晒屁股的店,2026-06-19 16:57:31,web_detail,,1
6a18fb0ac40951000133276c,RQ牌男设女设拼拼乐oc人设盲盒纯拼改色空壳设随机设定,high,商品已下架/冻结,330,14.884379350944773,WATCH,69d9b1157fc1200015bbc817,诗鸽鸽的小鸽窝的店,2026-06-19 16:57:31,web_detail,,1
6a0ec13535725f0001ecbeef,全新蛋仔派对小羊小蓝帽天火麒麟凤闪电阿存法莉塔百变羽翼模版,high,商品已下架/冻结,349,13.232253546838663,WATCH,69e6f3d935441e001514801e,coko的店,2026-06-19 16:57:31,web_detail,,1
69cce513a4db7c0001292356,图片转拼豆图纸/带色号/无限使用次数,high,商品已下架/冻结,993,12.612683146652238,WATCH,65df255928471e000159ce82,约翰爱学习的店,2026-06-19 16:57:31,web_detail,,1
6a16e4199a00d300012f814a,视频同款官方玩偶,high,商品已下架/冻结,271,12.459381216869925,WATCH,,,2026-06-19 16:57:33,web_detail,,1
6a0fe135e6d02a000129b366,【AI豆仓】高级会员权益 - 拼豆效率神器,high,商品已下架/冻结,811,12.391408003728515,WATCH,6983e2901e1c83001559d6f0,AI豆仓的店,2026-06-19 16:57:31,web_detail,,1
6a0d825b43375f00012c1b50,C盘清理精灵专业一键深度清理系统垃圾释放存储空间优化电脑服务,high,商品已下架/冻结,1489,11.607822957315364,WATCH,677e2785921a680015716438,青禾科技的店,2026-06-19 14:29:53,web_full,,1
6a0bdf4ea32a970001e68f91,26年6月英语四六级刘晓艳急救班网课四六级备考网课,high,商品已下架/冻结,517,11.550562460618364,WATCH,68949c6a40b2920015ed6475,拾光上岸屋的店,2026-06-19 16:57:31,web_detail,,1
6a22361e1c308e000114ed24,Lightroom手机版高级功能调色模版安卓/苹果/ipad调色预设模版,high,商品已下架/冻结,181,11.32990929831676,WATCH,,,2026-06-19 16:57:40,web_detail,,1
6a23ec19461097000157c034,个人兴趣光遇兴趣特色教育,high,商品已下架/冻结,532,10.733803409741551,WATCH,69a1924a151b330015a1a8f7,风与煦陪玩团的店,2026-06-19 16:57:35,web_detail,,1
6a0eb7aa88ed2e00011474a9,WPS超级会资源员素材简历其作模板,high,商品已下架/冻结,624,10.665465797683023,WATCH,69243693d481a0001529fd37,学习工作会员的店,2026-06-19 16:57:31,web_detail,,1
68dcffe89176f50001f41bc7,2026国家能源集团校招春招笔试面试资料包企业文化真题预测卷,high,商品已下架/冻结,914,10.31142543925371,WATCH,68a03af22c156200155b7076,上岸接着卷的店,2026-06-19 16:57:31,web_detail,,1
6a17cfc048fd3d0001ae1c5c,浙江专用BP吧期末,high,商品已下架/冻结,221,10.153136152195822,WATCH,,,2026-06-19 16:57:39,web_detail,,1
69a927a1befcbd00018a1efe,27考研张宇基础30讲高数线代概率1000题电子版,high,商品已下架/冻结,0,4.161476524721975,ACCEL,67d94c5494b4e00015dac44b,南征学长的店,2026-06-19 16:57:30,web_detail,,1
6a05dc5d377d170001a6d8f8,26注会官方教材全套6科PDF电子版,high,商品已下架/冻结,0,3.474257645090497,ACCEL,,,2026-06-19 16:57:29,web_detail,,1
69478e7fe935e900016f892c,成都初一初二初三数学英语文物化生地史政月考期中期末真题试卷,high,商品已下架/冻结,0,3.0953972722327157,ACCEL,,,2026-06-19 16:57:30,web_detail,,1
694aa53aa3be010001ec8027,2026年深圳市初中数学英语语文物化生地史政月考期中期末真题试卷,high,商品已下架/冻结,0,2.8962021439115855,ACCEL,,桃李先生资料库的店,2026-06-19 16:57:30,web_detail,,1
69eb1efbe4ac6100019e96dd,小学数学《北京同步真题试卷》1-6年级下册（PDF电子版）,high,商品已下架/冻结,0,2.1108409938892025,ACCEL,6949ecb41b172300155d9a92,纳兰学长资料库的店,2026-06-19 16:57:30,web_detail,,1
69eb1d5221e0870001f75b93,小学语文《北京同步真题试卷》1-6年级下册（PDF电子版）,high,商品已下架/冻结,0,2.109209205697354,ACCEL,6949ecb41b172300155d9a92,纳兰学长资料库的店,2026-06-19 16:57:30,web_detail,,1
69abd6047c9c8f000161e85a,26春1-6年级语数英多版本高频考点易错题（附答案）,high,商品已下架/冻结,0,2.0,ACCEL,67d1804b3e21140015126796,芝士柒柒的店,2026-06-19 16:57:30,web_detail,,1
69ef22cc933b030001825b87,长春小学语文数学英语期末真题试卷含答案,high,商品已下架/冻结,0,1.8730221099002593,ACCEL,,,2026-06-19 16:57:30,web_detail,,1
6a1d1ecd6114660001df0c40,2026辽宁中考临考预测卷电子资料PDF天星,high,商品已下架/冻结,0,1.8379809687098405,ACCEL,,,2026-06-19 16:57:30,web_detail,,1
69478e7fe935e900016f8944,成都初一初二初三数学英语文物化生地史政月考期中期末真题试卷,high,商品已下架/冻结,0,1.55482987105754,ACCEL,65bb02155848410001055146,桃李先生资料库的店,2026-06-19 16:57:30,web_detail,,1
6756bc316e529e0001ec82b1,合肥市初中语文数学英语外物化生地史政月考期中期末真题试卷,high,商品已下架/冻结,0,1.4420090250757556,ACCEL,,,2026-06-19 16:57:30,web_detail,,1
675022ee317fb100013acc3e,济南市初中数学英语文外物化生地史政月考期中期末真题试卷,high,商品已下架/冻结,0,1.3134259382654747,ACCEL,65bb02155848410001055146,桃李先生资料库的店,2026-06-19 16:57:30,web_detail,,1
694ea6596fadb7000140f97b,北京初中语文数学英语物理化学生生物地史政月考期中期末真题试卷,high,商品已下架/冻结,1689,0.8966382340300477,ACCEL,,,2026-06-19 13:27:24,web_full,,1
694ea135e7d6bb0001ca1154,北京初中语文数学英语物理化学生生物地史政月考期中期末真题试卷,high,商品已下架/冻结,1689,0.8713970031181756,ACCEL,,,2026-06-19 13:27:23,web_full,,1
679b2edc96b36c000107b777,阿虎医考初，中，副高，正高刷题上岸题库（笔记同款）,high,商品已下架/冻结,1663,0.7909560725226025,ACCEL,,医药护学习圈的店,2026-06-19 13:40:48,web_full,,1
